Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,ST1000LM014,Seagate,Laptop SSHD 2.5" 1TB,336,48.3,47281,https://hdd.userbenchmark.com/Seagate-Laptop-SSHD-25--1TB/Rating/1804
HDD,,Seagate,STM3250318AS 250GB,337,48.3,2559,https://hdd.userbenchmark.com/SpeedTest/5134/STM3250318AS
HDD,WD5000BPKX,WD,Black 2.5" 500GB (2013),338,48.3,3074,https://hdd.userbenchmark.com/SpeedTest/3355/WDC-WD5000BPKX-75HPJT0
HDD,WD1001X06X,WD,Black2 2.5" 1.120 TB (2013),339,48.3,1256,https://hdd.userbenchmark.com/SpeedTest/5448/WDC-WD1001X06X-00SJVT0
HDD,,Toshiba,MK6461GSYN 640GB,340,48,494,https://hdd.userbenchmark.com/SpeedTest/2644/TOSHIBA-MK6461GSYN
HDD,,Hitachi,HDT721050SLA360 500GB,341,48,1539,https://hdd.userbenchmark.com/SpeedTest/4865/Hitachi-HDT721050SLA360
HDD,,Seagate,ST3500820AS 500GB,342,47.9,2890,https://hdd.userbenchmark.com/SpeedTest/3950/ST3500820AS
HDD,,Seagate,ST3320613AS 320GB,343,47.9,11395,https://hdd.userbenchmark.com/SpeedTest/1722/ST3320613AS
HDD,,Maxtor,S TM3320613AS 320GB,344,47.8,158,https://hdd.userbenchmark.com/SpeedTest/10528/MAXTOR-S-TM3320613AS
HDD,,,OCZ-AGILITY3 120GB,345,47.8,100,https://hdd.userbenchmark.com/SpeedTest/2512/OCZ-AGILITY3
HDD,,Seagate,ST31000340AS 1TB,346,47.7,4325,https://hdd.userbenchmark.com/SpeedTest/206/ST31000340AS
HDD,,,VB0250EAVER 250GB,347,47.7,1281,https://hdd.userbenchmark.com/SpeedTest/1098/VB0250EAVER
HDD,,Seagate,ST3750330NS 750GB,348,47.6,752,https://hdd.userbenchmark.com/SpeedTest/8704/ST3750330NS
HDD,,WD,WD10S12X-55JTET0 1TB,349,47.6,532,https://hdd.userbenchmark.com/SpeedTest/12098/WDC-WD10S12X-55JTET0
HDD,,Seagate,ST3320813AS 320GB,350,47.5,2991,https://hdd.userbenchmark.com/SpeedTest/5403/ST3320813AS
HDD,HD103UJ,Samsung,Spinpoint F1 1TB,351,47.5,41937,https://hdd.userbenchmark.com/SpeedTest/413/SAMSUNG-HD103UJ
HDD,WD5001AALS,WD,Black 500GB (2008),352,47.5,17602,https://hdd.userbenchmark.com/SpeedTest/1199/WDC-WD5001AALS-00L3B2
